Species,Lon,Lat
Artibeus lituratus,-78.54758,-3.61688
Artibeus lituratus,-78.54758,-3.61688
Artibeus lituratus,-78.62413,-3.67235
Artibeus lituratus,-78.62413,-3.67235
Artibeus lituratus,-78.53922,-3.58929
Artibeus lituratus,-78.53922,-3.58929
Artibeus lituratus,-78.62413,-3.67235
Artibeus lituratus,-72.055094,2.864344
Artibeus lituratus,-72.128678,3.046792
Artibeus lituratus,-77.98682,8.46714
Artibeus lituratus,-78.00496,8.55182
Artibeus lituratus,-77.81512,8.30494
Artibeus lituratus,-77.989,8.465
Artibeus lituratus,-78.01369,8.54919
Artibeus lituratus,-77.81353,8.30547
Artibeus lituratus,-78.01334,8.5454
Artibeus lituratus,-78.00477,8.55194
Artibeus lituratus,-78.00531,8.55147
Artibeus lituratus,-78.00474,8.55085
Artibeus lituratus,-78.01369,8.54919
Artibeus lituratus,-77.991,8.465
Artibeus lituratus,-77.989,8.465
Artibeus lituratus,-78.01334,8.5454
Artibeus lituratus,-78.00456,8.55108
Artibeus lituratus,-77.991,8.465
Artibeus lituratus,-72.058439,2.873997
Artibeus lituratus,-72.033114,2.884925
Artibeus lituratus,-72.033114,2.884925
Artibeus lituratus,-75.495083,5.056333
Artibeus lituratus,-75.495083,5.056333
Artibeus lituratus,-75.495083,5.056333
Artibeus lituratus,-75.494222,5.056389
Artibeus lituratus,-75.494222,5.056389
Artibeus lituratus,-75.78259,6.604365
Artibeus lituratus,-73.86321,7.368399
Artibeus lituratus,-73.86321,7.368399
Artibeus lituratus,-73.857695,7.314655
Artibeus lituratus,-73.711978,7.320308
Artibeus lituratus,-73.857695,7.314655
Artibeus lituratus,-73.711978,7.320308
Artibeus lituratus,-76.175283,5.358287
Artibeus lituratus,-76.6225,5.564722
Artibeus lituratus,-76.6225,5.564722
Artibeus lituratus,-76.6225,5.564722
Artibeus lituratus,-76.6225,5.564722
Artibeus lituratus,-76.6225,5.564722
Artibeus lituratus,-76.6225,5.564722
Artibeus lituratus,-76.52914,3.34166
Artibeus lituratus,-76.52914,3.34166
Artibeus lituratus,-75.81492,5.18855
Artibeus lituratus,-75.81471,5.22954
Artibeus lituratus,-76.6225,5.564722
Artibeus lituratus,-76.55158,3.34562
Artibeus lituratus,-76.922199,-0.484688
Artibeus lituratus,-72.618583,5.218333
Artibeus lituratus,-72.618583,5.218333
Artibeus lituratus,-76.541388,5.498333
Artibeus lituratus,-76.541388,5.498333
