Specie,X,Y
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Felis nigripes,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Panthera pardus,24.752527,-28.55362
Lycaon pictus,24.752527,-28.55362
Panthera tigris,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Genetta pardina,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Acinonyx jubatus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Lycaon pictus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Leptailurus serval,24.752527,-28.55362
Leptailurus serval,28.589,-26.666
Caracal caracal,18.348333,-34.009083
Genetta pardina,28.217,-25.867
Leptailurus serval,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Caracal caracal,18.427006,-34.083054
Canis lupus,24.752527,-28.55362
Felis nigripes,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Herpestes javanicus,29.5,-25.75
Felis nigripes,29.233,-25.883
Felis nigripes,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Leptailurus serval,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Caracal caracal,18.44596,-34.002037
Canis lupus,24.752527,-28.55362
Caracal caracal,18.37108,-34.106693
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis mesomelas,24.752527,-28.55362
Civettictis civetta,24.752527,-28.55362
Acinonyx jubatus,24.752527,-28.55362
Vulpes chama,24.8,-28.85
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Panthera leo,29.333,-22.335
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Genetta pardina,24.752527,-28.55362
Acinonyx jubatus,24.752527,-28.55362
Felis silvestris,28.25,-26.0833
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Vulpes chama,24.752527,-28.55362
Civettictis civetta,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis mesomelas,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Vulpes chama,24.752527,-28.55362
Caracal caracal,18.417404,-34.10158
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Panthera tigris,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Vulpes chama,24.8,-28.85
Canis lupus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Leptailurus serval,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Lycaon pictus,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Leptailurus serval,28.233,-25.767
Leptailurus serval,24.752527,-28.55362
Canis lupus,24.752527,-28.55362
Panthera leo,24.752527,-28.55362
Panthera leo,31.89,-25.34
Panthera leo,31.28,-25.45
Panthera leo,31.89,-25.34
Panthera leo,31.63,-24.99
Otocyon megalotis,25.16,-29.03
Panthera leo,31.48,-25.43
Panthera leo,31.47,-24.98
Panthera leo,31.56,-25.24
Panthera leo,31.48,-25.43
Panthera leo,30.96,-22.99
Panthera leo,31.3,-22.84
Panthera leo,31,-23.23
Panthera leo,31.25,-22.66
Panthera leo,30.96,-22.99
Panthera leo,31.36,-23.03
Panthera leo,30.96,-22.99
Vulpes chama,24.8,-28.85
Panthera leo,31.3,-22.84
Panthera leo,31.36,-23.03
Panthera leo,31.25,-22.66
Panthera leo,31.41,-22.84
Panthera leo,31.25,-22.66
Suricata suricatta,21.83,-26.98
Proteles cristata,26.02,-29.81
Panthera leo,31.72,-25.11
Panthera leo,31.48,-25.43
Panthera leo,31.89,-25.34
Panthera leo,31.47,-24.98
Panthera leo,31.3,-22.84
Panthera leo,31.25,-22.66
Panthera leo,30.96,-22.99
Panthera leo,31.25,-22.66
Suricata suricatta,24.55,-32.25
Suricata suricatta,24.55,-32.25
Suricata suricatta,24.55,-32.25
Galerella sanguinea,30.533333,-23.983333
Galerella sanguinea,23.433333,-27.45
Ictonyx striatus,17.983333,-30.55
Galerella sanguinea,23.433333,-27.45
Genetta genetta,24.55,-32.25
Atilax paludinosus,27.889754,-25.832482
Galerella pulverulenta,17.983333,-30.55
Cynictis penicillata,24.55,-32.25
Galerella sanguinea,28.310924,-25.74908
Proteles cristata,28.583333,-30.783333
Panthera pardus,31.6,-24.983333
Panthera leo,30.833333,-24.15
Panthera leo,30.833333,-24.15
Panthera leo,31.6,-24.983333
Galerella sanguinea,28.310924,-25.74908
Panthera leo,31.6,-24.983333
Galerella sanguinea,28.310924,-25.74908
Panthera leo,30.833333,-24.15
Acinonyx jubatus,31.5,-23.833333
Acinonyx jubatus,31.6,-24.983333
Ictonyx striatus,25.583333,-33.966667
Ictonyx striatus,17.983333,-30.55
Hydrictis maculicollis,21.088972,-28.634917
Proteles cristata,22.9391198,-30.555607
Genetta genetta,25.04777,-33.52043
Galerella pulverulenta,25.04777,-33.52043
Cynictis penicillata,25.04777,-33.52043
Otocyon megalotis,25.04777,-33.52043
Genetta genetta,25.04777,-33.52043
Cynictis penicillata,25.04777,-33.52043
Vulpes chama,25.04777,-33.52043
Galerella pulverulenta,25.04777,-33.52043
Suricata suricatta,25.04777,-33.52043
Panthera pardus,27.801389,-25.895
Panthera pardus,27.801389,-25.895
Felis nigripes,27.801389,-25.895
Hyaena brunnea,27.801389,-25.895
Leptailurus serval,29.5,-29.333333
Otocyon megalotis,24.333333,-33.333333
Cynictis penicillata,23.5,-30.6
Aonyx capensis,18.503939,-34.07076
Panthera leo,31.6,-24.983333
Panthera leo,31.6,-24.983333
Panthera leo,31.6,-24.983333
Panthera leo,31.6,-24.983333
Panthera leo,31.6,-24.983333
Panthera leo,30.833333,-24.15
Panthera leo,31.6,-24.983333
Panthera leo,31.6,-24.983333
Panthera leo,31.6,-24.983333
Panthera leo,31.6,-24.983333
Panthera leo,31.6,-24.983333
Suricata suricatta,20.48,-30.45
Otocyon megalotis,19.9,-31.47
Suricata suricatta,17.52,-30.37
Panthera leo,28.54883,-25.26906
Panthera pardus,29.51234,-24.16182
Lycaon pictus,29.51234,-24.16182
Hyaena brunnea,28.415255,-23.753467
Canis mesomelas,31.7564,-24.3331
Suricata suricatta,22.297782,-33.535119
Crocuta crocuta,31.878548,-25.09617
Crocuta crocuta,31.526443,-25.292148
Galerella pulverulenta,25.827055,-33.513955
Aonyx capensis,18.381872,-34.258476
Mungos mungo,32.410936,-28.383109
Proteles cristata,24.592925,-28.778343
Suricata suricatta,25.862274,-33.50766
Canis mesomelas,25.828213,-33.616573
Suricata suricatta,25.7409,-33.5038
Crocuta crocuta,31.363341,-23.674901
Crocuta crocuta,31.447451,-24.974923
Cynictis penicillata,25.682203,-27.676403
Canis mesomelas,31.767243,-24.480272
Canis mesomelas,31.777813,-24.479572
Civettictis civetta,29.248273,-22.27497
Crocuta crocuta,32.39,-28.271
Proteles cristata,24.593183,-28.778644
Canis mesomelas,31.422706,-23.920986
Cynictis penicillata,28.508638,-26.378301
Crocuta crocuta,31.246577,-25.178622
Crocuta crocuta,31.422545,-23.920788
Canis mesomelas,31.849622,-25.340563
Canis mesomelas,29.191162,-25.303495
Canis mesomelas,29.191162,-25.303495
Civettictis civetta,31.235159,-23.921619
Felis silvestris,31.778549,-24.393946
Crocuta crocuta,31.489539,-25.103385
Crocuta crocuta,31.4488,-25.426
Suricata suricatta,30.077364,-27.301624
Canis mesomelas,27.121526,-25.263117
Cynictis penicillata,20.349344,-28.617211
Mellivora capensis,17.73448,-29.24981
Proteles cristata,19.5,-30.5
Cynictis penicillata,27.718642,-25.971109
Crocuta crocuta,31.809813,-24.401874
Caracal caracal,26.417611,-33.236145
Caracal caracal,26.487007,-33.358506
Galerella pulverulenta,28.616727,-28.504283
Helogale parvula,28.7557,-22.7409
Crocuta crocuta,31.44363,-23.555689
Mellivora capensis,27.137547,-25.200798
Suricata suricatta,30.075809,-27.203479
Panthera leo,26.25377,-24.670606
Crocuta crocuta,20.395114,-25.666124
Suricata suricatta,25.784904,-33.418012
Galerella pulverulenta,22.502182,-32.331811
Panthera pardus,31.013716,-23.863154
Mellivora capensis,20.824715,-26.110764
Felis catus,25.619793,-32.158596
Panthera leo,25.624524,-33.489811
Lycaon pictus,31.44244,-25.009219
Caracal caracal,22.409722,-33.345833
Panthera leo,25.712717,-33.433143
Genetta tigrina,21.39306,-34.298851
Crocuta crocuta,31.560055,-24.99198
Genetta tigrina,19.090583,-32.398729
Panthera pardus,29.777055,-22.819586
Acinonyx jubatus,31.160807,-23.704647
Proteles cristata,24.621725,-28.9908
Cynictis penicillata,25.483032,-32.168375
Atilax paludinosus,30.751089,-30.278632
Cynictis penicillata,20.712937,-34.211065
Panthera pardus,31.678812,-24.286632
Panthera leo,25.600875,-33.476453
Atilax paludinosus,18.515219,-33.889792
Cynictis penicillata,25.797272,-33.554414
Crocuta crocuta,31.558586,-25.136028
Panthera pardus,31.570441,-23.990309
Panthera leo,31.514641,-25.375765
Mungos mungo,32.678753,-27.541087
Helogale parvula,31.55474,-23.988385
Crocuta crocuta,31.704501,-24.922307
Mellivora capensis,20.537961,-25.34679
Acinonyx jubatus,31.711776,-25.037886
Lycaon pictus,31.563081,-25.406908
Atilax paludinosus,22.461521,-33.943677
Atilax paludinosus,22.4612,-33.943258
Panthera leo,31.414543,-23.882272
Panthera leo,32.125389,-28.09423
Vulpes chama,17.999896,-33.108673
Hyaena brunnea,27.801389,-25.895
Hyaena brunnea,27.801389,-25.895
Panthera leo,31.566585,-23.945688
Lycaon pictus,26.319108,-24.73133
Aonyx capensis,28.004896,-26.151574
Suricata suricatta,30.180924,-27.388291
Galerella sanguinea,28.576124,-25.576391
Panthera leo,32.124058,-28.114811
Crocuta crocuta,31.563869,-24.992728
Crocuta crocuta,30.893211,-24.197495
Suricata suricatta,26.1189,-33.454075
Panthera pardus,18.992926,-34.093243
Panthera leo,25.633736,-33.474818
Panthera leo,31.599904,-24.605727
Crocuta crocuta,25.773026,-33.489227
Crocuta crocuta,31.58122,-23.809545
Suricata suricatta,20.4799,-26.887228
Panthera leo,26.547009,-24.711321
Panthera leo,31.28795,-24.448399
Panthera leo,31.802957,-24.293169
Caracal caracal,18.978386,-32.14936
Acinonyx jubatus,20.3752,-26.158662
Mungos mungo,31.119692,-24.529772
Panthera leo,31.694419,-24.093903
Galerella sanguinea,31.606311,-24.391526
Crocuta crocuta,31.86211,-28.310752
Atilax paludinosus,19.671283,-33.568296
Felis catus,18.158449,-33.355818
Galerella pulverulenta,18.428291,-33.989598
Otocyon megalotis,17.476107,-30.36705
Leptailurus serval,28.450372,-26.789133
Leptailurus serval,28.46124,-26.812411
Leptailurus serval,28.457362,-26.804103
Leptailurus serval,28.389204,-26.649796
Leptailurus serval,30.105901,-29.365222
Leptailurus serval,28.677336,-27.120455
Leptailurus serval,28.799537,-27.393811
Leptailurus serval,30.035632,-29.295814
Leptailurus serval,28.500285,-26.870897
Leptailurus serval,28.389074,-26.642589
Ictonyx striatus,26.624052,-33.16776
Leptailurus serval,28.791666,-27.369538
Leptailurus serval,30.127535,-29.380513
Leptailurus serval,28.650358,-27.078348
Leptailurus serval,28.403515,-26.707204
